role_id,competency_id,required_level,priority,requirement_type
ROLE001,STAT001,Intermediate,High,Core
ROLE001,STAT002,Intermediate,High,Core
ROLE001,STAT010,Beginner,Medium,Supporting
ROLE001,TECH008,Beginner,Low,Supporting
ROLE001,BEH002,Intermediate,High,Core
ROLE001,BEH004,Intermediate,High,Core
ROLE001,BEH005,Beginner,Medium,Supporting
ROLE002,STAT002,Intermediate,High,Core
ROLE002,STAT008,Beginner,Medium,Supporting
ROLE002,STAT009,Intermediate,Medium,Supporting
ROLE002,STAT010,Intermediate,High,Core
ROLE002,TECH002,Beginner,Medium,Supporting
ROLE002,TECH003,Intermediate,High,Core
ROLE002,TECH004,Beginner,Medium,Supporting
ROLE002,TECH008,Intermediate,Medium,Supporting
ROLE002,BEH002,Intermediate,High,Core
ROLE002,BEH004,Intermediate,High,Core
ROLE003,STAT001,Intermediate,High,Core
ROLE003,STAT002,Advanced,High,Core
ROLE003,STAT004,Intermediate,Medium,Supporting
ROLE003,STAT005,Intermediate,Medium,Supporting
ROLE003,STAT006,Intermediate,Medium,Supporting
ROLE003,STAT007,Intermediate,Medium,Supporting
ROLE003,STAT008,Intermediate,Medium,Supporting
ROLE003,STAT010,Advanced,High,Core
ROLE003,TECH002,Intermediate,High,Core
ROLE003,TECH003,Intermediate,High,Core
ROLE003,TECH004,Intermediate,Medium,Supporting
ROLE003,TECH008,Intermediate,High,Core
ROLE003,BEH002,Intermediate,High,Core
ROLE003,BEH005,Intermediate,High,Core
ROLE004,STAT001,Advanced,High,Core
ROLE004,STAT002,Advanced,High,Core
ROLE004,STAT003,Intermediate,High,Core
ROLE004,STAT004,Intermediate,High,Core
ROLE004,STAT005,Intermediate,High,Core
ROLE004,STAT006,Intermediate,Medium,Supporting
ROLE004,STAT007,Intermediate,Medium,Supporting
ROLE004,STAT008,Advanced,High,Core
ROLE004,STAT009,Advanced,High,Core
ROLE004,STAT010,Advanced,High,Core
ROLE004,TECH002,Intermediate,High,Core
ROLE004,TECH003,Intermediate,High,Core
ROLE004,TECH008,Advanced,High,Core
ROLE004,BEH002,Advanced,High,Core
ROLE004,BEH003,Intermediate,High,Core
ROLE004,BEH004,Advanced,High,Core
ROLE004,BEH005,Advanced,High,Core
ROLE004,BEH006,Intermediate,Medium,Supporting
ROLE005,STAT001,Advanced,High,Core
ROLE005,STAT002,Advanced,High,Core
ROLE005,STAT003,Advanced,High,Core
ROLE005,STAT004,Advanced,High,Core
ROLE005,STAT005,Advanced,High,Core
ROLE005,STAT008,Advanced,High,Core
ROLE005,STAT009,Advanced,High,Core
ROLE005,STAT010,Advanced,High,Core
ROLE005,TECH002,Advanced,High,Core
ROLE005,TECH003,Intermediate,High,Core
ROLE005,TECH008,Advanced,High,Core
ROLE005,TECH009,Intermediate,Medium,Emerging
ROLE005,BEH001,Advanced,High,Core
ROLE005,BEH002,Advanced,High,Core
ROLE005,BEH003,Advanced,High,Core
ROLE005,BEH004,Advanced,High,Core
ROLE005,BEH005,Advanced,High,Core
ROLE005,BEH006,Advanced,High,Core
ROLE006,STAT001,Advanced,High,Core
ROLE006,STAT002,Advanced,High,Core
ROLE006,STAT003,Advanced,High,Core
ROLE006,STAT008,Advanced,High,Core
ROLE006,STAT009,Advanced,High,Core
ROLE006,STAT010,Advanced,High,Core
ROLE006,TECH008,Advanced,High,Core
ROLE006,TECH009,Intermediate,Medium,Emerging
ROLE006,TECH010,Beginner,Medium,Emerging
ROLE006,TECH012,Intermediate,Medium,Supporting
ROLE006,GOV001,Intermediate,High,Core
ROLE006,GOV002,Advanced,High,Core
ROLE006,GOV005,Intermediate,Medium,Emerging
ROLE006,BEH001,Advanced,High,Core
ROLE006,BEH002,Advanced,High,Core
ROLE006,BEH003,Advanced,High,Core
ROLE006,BEH004,Advanced,High,Core
ROLE006,BEH005,Advanced,High,Core
ROLE006,BEH006,Advanced,High,Core
ROLE007,STAT001,Advanced,High,Core
ROLE007,STAT002,Advanced,High,Core
ROLE007,STAT009,Advanced,High,Core
ROLE007,STAT010,Advanced,High,Core
ROLE007,TECH002,Advanced,High,Core
ROLE007,TECH003,Intermediate,High,Core
ROLE007,TECH008,Advanced,High,Core
ROLE007,BEH002,Advanced,Medium,Supporting
ROLE007,BEH005,Advanced,High,Core
ROLE008,STAT002,Intermediate,Medium,Supporting
ROLE008,STAT010,Intermediate,Medium,Supporting
ROLE008,TECH001,Intermediate,High,Core
ROLE008,TECH002,Intermediate,High,Core
ROLE008,TECH003,Advanced,High,Core
ROLE008,TECH007,Beginner,Low,Supporting
ROLE008,TECH008,Advanced,High,Core
ROLE008,TECH009,Intermediate,Medium,Emerging
ROLE008,TECH012,Intermediate,Medium,Supporting
ROLE008,GOV002,Intermediate,High,Core
ROLE008,BEH002,Intermediate,High,Core
ROLE008,BEH005,Intermediate,High,Core
ROLE009,STAT002,Advanced,High,Core
ROLE009,STAT010,Advanced,High,Core
ROLE009,TECH001,Advanced,High,Core
ROLE009,TECH002,Advanced,High,Core
ROLE009,TECH003,Advanced,High,Core
ROLE009,TECH008,Advanced,High,Core
ROLE009,TECH009,Advanced,High,Core
ROLE009,TECH010,Intermediate,High,Core
ROLE009,TECH011,Intermediate,High,Core
ROLE009,GOV001,Intermediate,High,Core
ROLE009,GOV002,Advanced,High,Core
ROLE009,BEH004,Advanced,High,Core
ROLE010,STAT001,Intermediate,Medium,Supporting
ROLE010,STAT002,Intermediate,Medium,Supporting
ROLE010,STAT010,Intermediate,Medium,Supporting
ROLE010,TECH001,Intermediate,Medium,Supporting
ROLE010,TECH003,Intermediate,High,Core
ROLE010,TECH007,Advanced,High,Core
ROLE010,TECH008,Advanced,High,Core
ROLE010,TECH012,Intermediate,Medium,Supporting
ROLE010,GOV002,Intermediate,High,Core
ROLE010,BEH002,Intermediate,Medium,Supporting
ROLE011,TECH001,Advanced,High,Core
ROLE011,TECH003,Advanced,High,Core
ROLE011,TECH010,Advanced,High,Core
ROLE011,TECH011,Advanced,High,Core
ROLE011,TECH012,Intermediate,Medium,Supporting
ROLE011,GOV001,Advanced,High,Core
ROLE011,GOV002,Advanced,High,Core
ROLE011,GOV004,Advanced,High,Core
ROLE011,GOV005,Intermediate,Medium,Supporting
ROLE011,BEH003,Intermediate,Medium,Supporting
ROLE012,TECH001,Intermediate,High,Core
