title,description,duration,target_group,difficulty,skill_tags
Index Numbers and Price Statistics in India,"Covers sources of data, status and limitation of price statistics; concepts, methodology and construction of WPI, CPI and development indices (SDI, HDI); compilation of Index of Industrial Production (IIP).",1 week / 5 days,State DES,intermediate,"Price Statistics, Index Numbers, WPI, CPI, IIP"
Social Statistics,"Concepts and definitions of social statistics; human development and socio-economic indicators; gender statistics; vital statistics; health, education, labour and housing statistics; poverty measurement and multidimensional poverty index.",1 week / 5 days,State DES,intermediate,"Social Statistics, Gender Statistics, Vital Statistics, Poverty Analysis"
National Accounts Statistics,"Theoretical concepts of social, national and environmental accounting; estimation of national income and related aggregates (GDP, saving, capital formation, private consumption expenditure); preparation of income estimates from primary, secondary and tertiary sectors; input-output analysis.",1 week / 5 days,State DES,advanced,"National Accounts, GDP, Input-Output Analysis, Macro Statistics"
Sampling Methods and Techniques used in Large Scale Sample Surveys,"Review of sample survey techniques; survey planning, frame and selection of sampling scheme, sample size; questionnaire design; post-survey operations, field and computer scrutiny; estimation procedure and multipliers; report writing with practical experiences from NSSO, NFHS, RCH and SRS surveys.",1 week / 5 days,State DES,intermediate,"Sample Surveys, Survey Design, Estimation Methods, NSSO"
Demography and Population Studies,"Concepts of mortality, fertility and morbidity; construction of life tables and population projections using Mortpak and Spectrum software; population policy, family welfare, RCH and NRHM; impact of population growth on poverty, gender, urbanisation and employment.",1 week / 5 days,State DES,intermediate,"Demography, Population Studies, Life Tables, Population Projection"
Training of Trainers (TOT) - Index Numbers and Price Statistics,"Training of trainers programme on price statistics covering WPI, CPI, development indices and compilation of IIP, aimed at senior officials of State DES and faculty of State Training Institutes.",1 week / 5 days,State DES,advanced,"Training of Trainers, Price Statistics, Index Numbers"
Training of Trainers (TOT) - National Accounts Statistics,"Training of trainers programme for senior officials of State DES and faculty of State training institutes on concepts, sources of data and estimation of national accounts statistics and GDP aggregates.",1 week / 5 days,State DES,advanced,"Training of Trainers, National Accounts, Estimation"
Planning and Designing of Large Scale Sample Surveys,"Review of sample survey techniques; survey planning, frame and selection of sampling scheme, sample size; questionnaire design; post-survey operations including field and computer scrutiny, multipliers and report writing; surveys using network and quota sampling.",1 week / 5 days,ISS,advanced,"Survey Design, Sampling Techniques, Questionnaire Design"
Handling Large Scale Data & Data Analysis using R,"Practical orientation to data analysis in R including descriptive analysis, regression, logistic/log-linear analysis, factor and cluster analysis; handling unit level data of NSSO including understanding multipliers and estimation procedures.",1 week / 5 days,ISS,intermediate,"R Programming, Data Analysis, Unit Level Data, Regression"
Big Data Analysis,"Data science and concept of big data; data-driven decision making, data visualization, predictive analytics, data mining techniques, forecasting, survival and cluster analysis, linear and logistic regression; optimization using R, SAS, SPSS and Excel.",1 week / 5 days,ISS,advanced,"Big Data, Data Analytics, Data Mining, Predictive Analytics"
Poverty Analysis and measuring Inequality,"Definition of poverty, prevalence and estimates; measuring poverty, income inequality and poverty line estimation; use of NSSO data for poverty measures; poverty alleviation programmes in India and their impact.",1 week / 5 days,ISS,advanced,"Poverty Analysis, Inequality, Income Distribution"
Labour Force and Employment Statistics,"Labour market trends and segmentation; concepts related to labour force and employment; underemployment, working poor, informal and unpaid work; sources of data and national and international practices in compiling labour statistics.",1 week / 5 days,ISS,intermediate,"Labour Statistics, Employment, Labour Force"
Artificial Intelligence (AI) and Concept of Block Chain,Artificial intelligence and machine learning; attacks in virtual world and mitigation approaches; usage of blockchain technologies in land records; disruptive technologies in today's world with focus on official statistics.,1 week / 5 days,ISS,advanced,"Artificial Intelligence, Machine Learning, Blockchain"
Communication Skill Development,"Goals for specific communications, the communication process, one-on-one and group communication, barriers to effective communication; influencing techniques; planning a communication strategy; face-to-face and virtual facilitation skills.",1 week / 5 days,ISS,beginner,"Communication Skills, Presentation, Soft Skills"
Python Training for Statisticians,"Python commands, lambda functions, tuples, lists, dictionaries, file operations, modules and packages, exception handling; packages for data science including numpy, pandas, matplotlib and seaborn; data pre-processing and model building with sci-kit learn.",1 week / 5 days,ISS,intermediate,"Python, Data Science, numpy, pandas, EDA"
Data Analysts and Data Ware House,"Concepts of data warehousing, tools and ETL; schema modeling, designing and developing dimension and fact tables; entity-relationship modeling using ERwin and generating SQL scripts.",1 week / 5 days,ISS,advanced,"Data Warehousing, ETL, Data Modeling, SQL"
"Advanced Sampling Techniques with practical examples from NSSO surveys, Health surveys etc.","Revision of basic sampling techniques; small area estimation, sampling for rare population, network sampling, quota and cluster sampling with practical examples from NSSO, health and other large-scale surveys.",1 week / 5 days,ISS,advanced,"Sampling Techniques, Small Area Estimation, Survey Methodology"
Data Mining Techniques and Data Analysis,"Basic concepts of data mining including data understanding, preparation, modeling, evaluation and deployment; anomaly detection, association rule learning, neural nets, machine learning, data warehousing and data interoperability.",2 weeks / 10 days,ISS,advanced,"Data Mining, Machine Learning, Data Analytics"
Training on Artificial Intelligence and Machine Learning,"Comprehensive training on artificial intelligence and machine learning concepts and applications, including ML modelling approaches relevant to official statistics.",2 weeks / 10 days,ISS,advanced,"Artificial Intelligence, Machine Learning"
Current Economic Issues,"Global economic scenario and current macro-economic scenario in India; WTO negotiations and impact on India; development economics, global financial crisis, environment economics and carbon trading, and outsourcing issues.",1 week / 5 days,ISS,intermediate,"Macro Economics, Economic Issues, Trade Policy"
Induction Training Programme for New Recruits - Subordinate Statistical Service (SSS),"Mandatory induction training for new SSS recruits covering basic statistical techniques and sample survey techniques, official statistics, office procedures, computer applications and FOD field training.",6/7 weeks,SSS,beginner,"Induction, Statistical Techniques, Official Statistics, Computer Applications"
Sample Survey Methodology & Estimation,"For ISS probationers: survey methodology and data analytics including designing, building, collecting, processing, analyzing, disseminating and evaluating data collected through surveys and census, referencing NSSO and NFHS surveys.",8 weeks,ISS,advanced,"Survey Methodology, Estimation, NSSO, Data Processing"
