role_id,title,department
ROLE001,Statistical Assistant,MOSPI
ROLE002,Junior Statistical Officer,MOSPI
ROLE003,Statistical Officer,MOSPI
ROLE004,Senior Statistical Officer,MOSPI
ROLE005,Deputy Director (Statistics),MOSPI
ROLE006,Director (Statistics),MOSPI
ROLE007,ISS Probationer,MOSPI
ROLE008,State DES Officer,State DES
ROLE009,Senior State DES Officer,State DES
ROLE010,Data Analyst,MOSPI
ROLE011,GIS/Technical Officer,MOSPI
ROLE012,Survey Coordinator,MOSPI
ROLE013,Programme Manager,MOSPI
ROLE014,Deputy Director General,MOSPI
ROLE015,Additional Director General,MOSPI
