course_id,course_name,question_id,assessment_type,question_number,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,competency,topic,learning_objective
C01,Data Analysis & Manipulation with Python,C01_Q01,INITIAL,1,Which Python library is the primary tool for loading and manipulating tabular (row-column) survey microdata?,Matplotlib,Requests,Pandas,Scipy,C,Pandas provides the DataFrame and Series structures designed specifically for loading and manipulating tabular survey microdata.,Easy,Data Manipulation,Pandas Fundamentals,Identify the core Python library used for tabular data analysis.
C01,Data Analysis & Manipulation with Python,C01_Q02,INITIAL,2,"In Python data analysis, a DataFrame is best described as:","A two-dimensional, labelled tabular structure with rows and columns",A one-dimensional array used only for generating plots,A database management system installed on the computer,A compressed file format for storing tables,A,"A DataFrame organises data into rows and columns with labels, analogous to a spreadsheet or an SQL table.",Easy,Data Manipulation,Pandas DataFrame,Define the structure of a pandas DataFrame.
C01,Data Analysis & Manipulation with Python,C01_Q03,INITIAL,3,What is the key structural difference between a pandas Series and a pandas DataFrame?,"A Series can store only numbers, while a DataFrame can store text also","A DataFrame requires a numeric index, while a Series requires text labels",They are identical and interchangeable in every operation,"A Series holds a single labelled column of data, while a DataFrame holds multiple labelled columns",D,A Series is one-dimensional labelled data; a DataFrame is a two-dimensional collection of columns sharing a common index.,Medium,Data Manipulation,Series vs DataFrame,Differentiate a Series from a DataFrame.
C01,Data Analysis & Manipulation with Python,C01_Q04,INITIAL,4,"In a pandas DataFrame created from survey microdata, missing or unknown observations are typically shown as:","The string ""NA"" typed into every cell",NaN (Not a Number),The integer 0,A dash '-' placed in the cell,B,"pandas represents missing numeric values with the NaN marker, a special floating-point value that .isna() can detect.",Medium,Data Cleaning,Missing Data,Recognise how missing values are represented in pandas.
C01,Data Analysis & Manipulation with Python,C01_Q05,INITIAL,5,A statistician must compute the average monthly income for each State from a unit-level household dataset. Which single pandas operation is most appropriate?,df.transpose(),df['income'].cummax(),df.groupby('state')['income'].mean(),df.dropna(subset=['income']),C,"groupby partitions rows by the State column and .mean() aggregates income within each group, yielding one average per State.",Advanced,Data Manipulation,Grouping & Aggregation,Apply grouping and aggregation for State-level summarisation.
C01,Data Analysis & Manipulation with Python,C01_Q06,FINAL,6,Which command reads a comma-separated microdata file named household.csv into a pandas DataFrame?,pd.read_csv('household.csv'),open('household.csv'),np.loadtxt('household.csv'),pd.import('household.csv'),A,pd.read_csv is the dedicated pandas function that parses comma-separated text files into a DataFrame.,Easy,Data Manipulation,Data Loading,Load delimited datasets into pandas.
C01,Data Analysis & Manipulation with Python,C01_Q07,FINAL,7,"A new dataset has been received. Which combination of methods gives an immediate overview of the first rows, data types and summary statistics?","df.first(), df.schema() and df.stats()","df.top(), df.meta() and df.avg()","df.peek(), df.types() and df.total()","df.head(), df.info() and df.describe()",D,"head() shows leading rows, info() lists columns with their data types, and describe() summarises numeric column distributions.",Easy,Data Exploration,Exploratory Data Analysis,Produce a quick exploratory profile of a dataset.
C01,Data Analysis & Manipulation with Python,C01_Q08,FINAL,8,How should a statistician select only respondents aged between 18 and 60 (inclusive) from a DataFrame containing a column 'age'?,df[18 <= df['age'] <= 60],df[(df['age'] >= 18) & (df['age'] <= 60)],df['age'][18:60],"df.iloc['age', 18:60]",B,"Combined boolean masks joined with & (rather than chained comparisons, which Python does not support on Series) select the required rows.",Medium,Data Manipulation,Boolean Filtering,Filter rows using boolean conditions.
C01,Data Analysis & Manipulation with Python,C01_Q09,FINAL,9,About 12% of 'income' values are missing. The analyst decides to remove only the records with missing income. Which command is correct?,df = df.fillna(0),df = df.drop_duplicates(),df = df.dropna(subset=['income']),"df = df.replace(np.nan, 'Not available')",C,dropna with the subset argument removes only the rows where the specified column contains a missing value.,Medium,Data Cleaning,Missing Data Handling,Remove records with missing values in a selected column.
C01,Data Analysis & Manipulation with Python,C01_Q10,FINAL,10,"Before analysis, 'income' has missing values and is strongly right-skewed. Which imputation choice is generally most defensible?",Replace the missing values with the median income and document the limitation,Replace the missing values with the arithmetic mean of income,Set every missing value to zero,Ignore the missing values without any adjustment,A,"The median is resistant to skewness and extreme values, making it a safer imputation central value for income than the mean.",Medium,Data Cleaning,Imputation,Choose a robust imputation strategy for a skewed variable.
