competency_id,domain,competency_name,description,beginner_level,intermediate_level,advanced_level
STAT001,Statistical Competencies,Survey Design,"Designing surveys including objectives, populations, variables, instruments, sampling plans, and field procedures.",Understand basic survey concepts and terminology.,Design survey components and select suitable methods with limited supervision.,"Lead survey design decisions, evaluate trade-offs, and improve survey methodology."
STAT002,Statistical Competencies,Sampling,Selecting and evaluating samples using appropriate sampling designs and understanding sampling-related errors.,Understand common sampling concepts and basic designs.,Apply appropriate sampling methods and interpret sampling results.,Design and evaluate complex sampling strategies and assess sampling quality.
STAT003,Statistical Competencies,National Accounts,"Understanding concepts, methods, classifications, and data used in compiling national accounts.",Understand the purpose and basic structure of national accounts.,Apply national-account concepts to relevant statistical data and analysis.,"Evaluate compilation methods, sources, and methodological issues in national accounts."
STAT004,Statistical Competencies,Price Statistics,Understanding and applying methods used to compile and analyze price statistics and price indices.,Understand basic price-statistics concepts and index terminology.,"Calculate, interpret, and validate common price measures.","Evaluate methodology, data quality, and advanced issues in price-statistics compilation."
STAT005,Statistical Competencies,Labour Statistics,"Understanding concepts, sources, classifications, and methods used for labour and employment statistics.",Understand key labour-statistics concepts and indicators.,Analyze labour datasets and interpret major labour indicators.,"Evaluate labour-statistics methodology, quality, and complex analytical requirements."
STAT006,Statistical Competencies,Agricultural Statistics,"Working with statistical concepts, sources, surveys, and indicators related to agriculture.",Understand basic agricultural-statistics concepts and sources.,Process and analyze agricultural statistical data.,"Evaluate agricultural data sources, methodology, and quality issues."
STAT007,Statistical Competencies,Industrial Statistics,Understanding and analyzing statistical information relating to industrial activity and production.,Understand major industrial-statistics concepts and indicators.,Analyze industrial datasets and interpret relevant indicators.,"Evaluate industrial-statistics methods, sources, and data-quality issues."
STAT008,Statistical Competencies,SDG Indicators,"Understanding, compiling, interpreting, and communicating indicators used for Sustainable Development Goals.",Understand the purpose and structure of SDG indicators.,Interpret and analyze SDG indicators and related datasets.,"Evaluate indicator methodology, comparability, metadata, and data-quality considerations."
STAT009,Statistical Competencies,Metadata Standards,"Creating and using metadata that describes statistical concepts, datasets, variables, methods, and quality information.",Understand the purpose and basic components of statistical metadata.,Create and use structured metadata for statistical datasets.,"Design, review, and maintain metadata frameworks for statistical systems."
STAT010,Statistical Competencies,Data Quality Frameworks,Applying structured approaches to assess and improve the quality of statistical data and outputs.,Understand common dimensions and concepts of statistical data quality.,Assess data quality using defined dimensions and procedures.,Design and evaluate quality-assurance approaches for statistical processes.
