title,description,duration,target_group,difficulty,skill_tags
Python for Government Data Analysis,"Covers Python fundamentals, data cleaning, exploratory analysis and basic visualization using government datasets.",5 days,Government Officials,intermediate,"Python, Data Analysis, Data Cleaning, Data Visualization"
SQL for Government Databases,"Introduces relational databases, SQL queries, joins, filtering, aggregation and basic database reporting.",5 days,Data and Statistical Officers,intermediate,"SQL, Databases, Data Querying"
Machine Learning Fundamentals for Public Services,"Introduces supervised and unsupervised learning, model evaluation and practical use cases in government data analysis.",1 week / 5 days,Government Data Professionals,intermediate,"Machine Learning, Python, Model Evaluation"
APIs and System Integration,"Covers REST APIs, authentication, data exchange and basic integration of government applications and services.",3 days,IT Officers and Software Developers,intermediate,"APIs, REST, Integration, Authentication"
Cloud Computing Fundamentals for Government,"Introduces cloud concepts, virtual machines, storage, databases, deployment models and basic cloud security.",5 days,Government IT Professionals,beginner,"Cloud Computing, Virtualization, Cloud Security"
Data Engineering Fundamentals,"Covers data pipelines, ETL processes, data storage, transformation and preparation of data for analytics.",1 week / 5 days,Data Analysts and IT Officers,intermediate,"Data Engineering, ETL, Data Pipelines"
Software Development Practices for Government Applications,"Covers software design principles, version control, testing, documentation and maintainable application development.",5 days,Government Software Developers,intermediate,"Software Development, Git, Testing, Documentation"
Cybersecurity for Software Developers,"Introduces secure coding, common application vulnerabilities, authentication, access control and security testing.",3 days,Software Developers and IT Officers,intermediate,"Cybersecurity, Secure Coding, Authentication"
Artificial Intelligence Fundamentals,"Provides an introduction to AI concepts, machine learning, generative AI and responsible use of AI in public services.",3 days,Government Officials,beginner,"Artificial Intelligence, Machine Learning, Generative AI"
Data Visualization with Python,Covers transforming datasets into charts and dashboards and selecting appropriate visualizations for government reporting.,3 days,Analysts and Statistical Officers,intermediate,"Python, Data Visualization, Reporting"
Introduction to DevOps,"Introduces version control, continuous integration, continuous delivery, automated testing and deployment concepts.",3 days,Government IT and Software Teams,intermediate,"DevOps, CI/CD, Git, Automation"
Web Application Development Fundamentals,"Covers web application architecture, backend services, databases, APIs and basic application deployment.",1 week / 5 days,IT Officers and Software Developers,intermediate,"Web Development, Backend, APIs, Databases"
Cybersecurity Awareness for Officials,"Covers common cyber threats, phishing, password security, safe device use and incident reporting for government personnel.",1 day,All Government Officials,beginner,"Cybersecurity, Phishing Awareness, Information Security"
Data Privacy and Protection in Government,"Introduces principles of data protection, responsible handling of personal information, access controls and privacy-aware workflows.",2 days,Government Officials and Data Professionals,intermediate,"Data Privacy, Personal Data, Access Control"
Digital Signatures and Electronic Records,"Explains digital signatures, electronic records, authentication and secure digital document workflows in government.",2 days,Government Officials and Administrative Staff,beginner,"Digital Signatures, Electronic Records, Authentication"
e-Governance and Digital Public Services,"Covers principles of e-governance, digital service delivery, citizen-centric design and interoperability.",3 days,Government Officers and Programme Managers,beginner,"e-Governance, Digital Services, Interoperability"
GIS for Government Applications,"Introduces geographic information systems, spatial data, mapping and practical applications for planning and public administration.",5 days,Government Planners and Field Officers,intermediate,"GIS, Spatial Data, Mapping"
Digital Identity and Authentication,"Covers digital identity concepts, authentication methods, authorization and secure access to government services.",2 days,IT Officers and Digital Service Teams,intermediate,"Digital Identity, Authentication, Authorization"
Open Data and Data Sharing in Government,"Introduces open data principles, data publishing, metadata, data quality and responsible inter-departmental data sharing.",3 days,Data Officers and Government Analysts,intermediate,"Open Data, Metadata, Data Sharing, Data Quality"
Responsible Use of Generative AI in Government,"Covers practical uses of generative AI, prompt design, verification, confidentiality, bias and responsible deployment considerations.",2 days,Government Officials,beginner,"Generative AI, Responsible AI, Prompting, Data Privacy"
Digital Accessibility for Public Services,"Introduces accessibility principles for government websites, documents and digital services to improve inclusive access.",2 days,Digital Service Teams and Content Managers,beginner,"Digital Accessibility, Inclusive Design, Web Standards"
Blockchain Fundamentals for Public Administration,"Provides a basic overview of distributed ledgers, blockchain architecture, use cases and limitations in public-sector systems.",2 days,Government IT Officers and Policy Professionals,beginner,"Blockchain, Distributed Ledger, Digital Governance"
Information Security Management Basics,"Introduces information security policies, risk assessment, asset protection, access management and incident response.",3 days,Government IT and Administrative Officers,intermediate,"Information Security, Risk Management, Incident Response"
Digital Service Design for Citizens,"Covers user needs, service journeys, usability testing and iterative design of citizen-facing digital government services.",3 days,Government Programme Managers and Digital Teams,intermediate,"Service Design, User Research, Usability, Citizen Services"
Effective Communication in Public Service,"Develops clear written and verbal communication skills for interaction with citizens, colleagues and senior officials.",2 days,All Government Officials,beginner,"Communication, Public Service, Presentation Skills"
Effective Leadership in Public Service,"Covers leadership styles, team direction, accountability, delegation and decision-making in public-sector environments.",3 days,Supervisory and Senior Officials,intermediate,"Leadership, Delegation, Decision-Making, Accountability"
Problem Solving and Decision Making,"Introduces structured problem-solving, root-cause analysis, evidence-based decisions and evaluation of alternatives.",2 days,Government Officials,intermediate,"Problem Solving, Decision-Making, Critical Thinking"
Teamwork and Collaboration,"Focuses on collaboration, role clarity, conflict management and effective coordination across government teams.",2 days,All Government Officials,beginner,"Teamwork, Collaboration, Conflict Management"
Ethics and Integrity in Public Service,"Covers ethical decision-making, integrity, accountability, conflicts of interest and professional conduct.",2 days,All Government Officials,beginner,"Ethics, Integrity, Accountability, Professional Conduct"
Time Management and Workplace Productivity,"Introduces prioritization, planning, workload management and practical methods for improving workplace productivity.",1 day,All Government Officials,beginner,"Time Management, Prioritization, Productivity"
Negotiation and Stakeholder Management,"Develops skills for identifying stakeholder interests, negotiating solutions and managing professional relationships.",2 days,Government Officers and Programme Managers,intermediate,"Negotiation, Stakeholder Management, Communication"
Presentation Skills for Government Officials,"Covers structuring presentations, explaining technical information clearly, visual support and delivery techniques.",2 days,Government Officials and Analysts,beginner,"Presentation Skills, Communication, Data Storytelling"
Emotional Intelligence at the Workplace,"Introduces self-awareness, empathy, emotional regulation and interpersonal skills for effective workplace interactions.",2 days,All Government Officials,beginner,"Emotional Intelligence, Empathy, Self-Awareness"
Change Management in Government,"Covers organizational change, stakeholder concerns, communication strategies and practical approaches to implementing new processes.",3 days,Managers and Programme Officers,intermediate,"Change Management, Leadership, Stakeholder Management"
Critical Thinking for Public Policy and Administration,"Develops skills in evaluating evidence, identifying assumptions, comparing alternatives and forming reasoned conclusions.",2 days,Government Officers and Policy Professionals,intermediate,"Critical Thinking, Evidence-Based Reasoning, Decision-Making"
Stress Management and Resilience at Work,"Introduces practical approaches to workload management, resilience, workplace pressure and maintaining effective professional performance.",1 day,All Government Officials,beginner,"Stress Management, Resilience, Self-Management"
